Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
penicillin-binding protein PBP4(5) [Listeria cossartiae],Listeria cossartiae,47.4,47.4,97%,2e-04,31.46,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185586917.1?report=genbank&log$=prottop&blast_rank=90&RID=UKXTVWSU016"",""WP_185586917.1"")"
penicillin-binding protein PBP4(5) [Listeria marthii],Listeria marthii,47.4,47.4,97%,2e-04,31.46,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185518225.1?report=genbank&log$=prottop&blast_rank=91&RID=UKXTVWSU016"",""WP_185518225.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus paramycoides],Bacillus paramycoides,47.4,47.4,90%,2e-04,33.33,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071719553.1?report=genbank&log$=prottop&blast_rank=92&RID=UKXTVWSU016"",""WP_071719553.1"")"
penicillin-binding protein PBP4(5) [Vagococcus entomophilus],Vagococcus entomophilus,47.4,47.4,96%,2e-04,31.03,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_126822077.1?report=genbank&log$=prottop&blast_rank=93&RID=UKXTVWSU016"",""WP_126822077.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus basilensis],Bacillus basilensis,47.4,47.4,90%,3e-04,32.14,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_431168493.1?report=genbank&log$=prottop&blast_rank=94&RID=UKXTVWSU016"",""WP_431168493.1"")"
MULTISPECIES: penicillin-binding transpeptidase domain-containing protein [Bacillus],Bacillus,47.4,47.4,90%,3e-04,30.95,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085782402.1?report=genbank&log$=prottop&blast_rank=95&RID=UKXTVWSU016"",""WP_085782402.1"")"
penicillin-binding transpeptidase domain-containing protein [Wansuia hejianensis],Wansuia hejianensis,47.4,47.4,84%,3e-04,31.58,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_118642215.1?report=genbank&log$=prottop&blast_rank=96&RID=UKXTVWSU016"",""WP_118642215.1"")"
penicillin-binding transpeptidase domain-containing protein [Salinicoccus luteus],Salinicoccus luteus,47.4,47.4,89%,3e-04,30.49,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_031546091.1?report=genbank&log$=prottop&blast_rank=97&RID=UKXTVWSU016"",""WP_031546091.1"")"
MULTISPECIES: penicillin-binding transpeptidase domain-containing protein [Blautia],Blautia,47.0,47.0,96%,3e-04,27.91,700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173749048.1?report=genbank&log$=prottop&blast_rank=98&RID=UKXTVWSU016"",""WP_173749048.1"")"
penicillin-binding transpeptidase domain-containing protein [Fictibacillus solisalsi],Fictibacillus solisalsi,47.0,47.0,40%,3e-04,47.22,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_139168403.1?report=genbank&log$=prottop&blast_rank=99&RID=UKXTVWSU016"",""WP_139168403.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus spongiae],Bacillus spongiae,47.0,47.0,97%,3e-04,27.37,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_336588271.1?report=genbank&log$=prottop&blast_rank=100&RID=UKXTVWSU016"",""WP_336588271.1"")"



		


